id,token,frequency
29605,b' drawb',26
29606,b' arms\xe2',2
29607,b' loweri',35
29608,b' administe',200
29609,b'zey',5
29610,b' soy',34
29611,b' BCO',2
29612,b' Andes',24
29613,b'aloi',18
29614,b'Tak',56
29615,b' extrat',53
29616,b' pairi',31
29617,b'cleo',8
29618,b'a\xc2',28
29619,b' ura',59
29620,b'(oro',2
29621,b'hese',35
29622,b'ydr',152
29623,b'idin',88
29624,b' judge',382
29625,b' p\xc3',53
29626,b' starc',22
29627,b' Bake',244
29628,b'Bak',27
29629,b' Baki',17
29630,b' item',313
29631,b' Christians',148
29632,b' wife\n',9
29633,b' Flan',134
29634,b'chee',11
29635,b' incorp',200
29636,b'edol',3
29637,b' skii',89
29638,b' skie',90
29639,b'Alp',45
29640,b' nightm',20
29641,b' divers',306
29642,b'onie',85
29643,b' Cele',196
29644,"b'""Ga'",61
29645,b'anq',4
29646,"b'""Ol'",73
29647,b' Outg',6
29648,b' optic',168
29649,b'Ng',18
29650,b' T\xe1',21
29651,b'guy',8
29652,b'\xbb\x85',7
29653,b'\xbb\x8b',11
29654,b'\xe1\xbb',105
29655,b'\xba\xa7',9
29656,b'\xbac',20
29657,b'Nar',41
29658,b'emey',5
29659,b' Streett',3
29660,b'Nin',51
29661,b' Centrali',9
29662,b' Shed',22
29663,b' changeu',3
29664,b'Alk',8
29665,b' Cyp',168
29666,b'riot',45
29667,b' articles',312
29668,b'Al\xc4',2
29669,b'\xe1\xb8',29
29670,b'\xabr',23
29671,b' Bakr',11
29672,b'\xb9\xa3',40
29673,b'-At',45
29674,b'\x81b',18
29675,b'scos',6
29676,b'mpy',13
29677,b' Christma',186
29678,b' Kyl',98
29679,b' credit',413
29680,b' Trey',26
29681,b'urso',88
29682,"b'""Mr'",99
29683,b' Kenny',78
29684,b'ageo',51
29685,b' Studio',355
29686,"b'""Nu'",41
29687,b' episodes',566
29688,b' Belli',73
29689,b'vea',34
29690,b' Scoti',184
29691,b'shipf',3
29692,b' Merch',93
29693,b'by\xe2',4
29694,b' Southp',96
29695,b'alor',20
29696,b' T0',5
29697,b'halp',4
29698,b' Rayl',19
29699,b' soni',55
29700,b' flow\n',8
29701,b' Chum',17
29702,b'baw',5
29703,b' Hopp',27
29704,b' LaP',12
29705,b'oliz',41
29706,b' lep',45
29707,b' metalc',9
29708,b' Hallw',21
29709,b' Brazi',206
29710,b' Sust',81
29711,b' Paran',46
29712,"b'""x'",6
29713,b' Tom\n',8
29714,b' significan',203
29715,b' Khar',167
29716,b'ntov',2
29717,b'alty',169
29718,b'iewi',42
29719,b' Assu',55
29720,"b'""Gl'",44
29721,b'ainia',48
29722,b'aln',12
29723,b'-ap',96
29724,b'TZ',42
29725,b' accounts',282
29726,b' Ukra',146
29727,b' Over',457
29728,b' transport',495
29729,b' machi',203
29730,b' economic',799
29731,b' protest',346
29732,b' demons',262
29733,b' Balle',85
29734,b' namesa',58
29735,b'unz',37
29736,b' children\n',23
29737,b' religiou',193
29738,"b'""Kh'",15
29739,b'yaz',11
29740,b'\xc2\xa0n',92
29741,b' Oldi',7
29742,b' Yur',87
29743,b' Khark',92
29744,b'acs',31
29745,b'vc',18
29746,b' numerou',210
29747,"b""'k""",37
29748,b'ntern',21
29749,b' Radio\n',16
29750,b' passenge',232
29751,b'Vl',19
29752,b' Bobr',6
29753,b' Medal',430
29754,b' bandu',4
29755,b' economis',105
29756,b'vg',8
29757,b' Badg',77
29758,b'scon',20
29759,b'arez',33
29760,b'-Du',52
29761,b' LaB',9
29762,b' eights',4
29763,b'ubb',50
29764,b'\xbal',69
29765,b' Ballo',47
29766,b'udy',19
29767,b' performances',385
29768,b' Flam',165
29769,b' Campe',31
29770,b' Italiana',14
29771,b'-she',59
29772,b' Siro',9
29773,b' howl',9
29774,b' matchd',6
29775,b' goall',7
29776,b' confirm',315
29777,b' Primei',5
29778,b' clean',302
29779,b'eepe',151
29780,b' Doni',46
29781,b' keepi',196
29782,b' Parag',61
29783,b' keepe',36
29784,b' Mene',56
29785,b'ub\n',9
29786,b'Ta\xc3',3
29787,b' sportsp',215
29788,b' Royalt',12
29789,b'Wu',24
29790,b'Off',321
29791,b' Rata',31
29792,b'zaa',12
29793,b'oras',24
29794,b'geda',2
29795,b'menk',5
29796,b'ko\n',34
29797,b' Maryn',22
29798,b'ovy',31
29799,b'ansk',21
29800,b'tyn',13
29801,b'(Uk',12
29802,b'ntyn',13
29803,b'utn',21
29804,b'kent',5
29805,b'sym',9
29806,b' Ole',151
29807,b'list\n',17
29808,b'nyt',8
29809,b' Olg',56
29810,b'ynk',9
29811,b'biy',9
29812,b'vk',55
29813,b'-Je',142
29814,b'huk',29
29815,b' thinke',54
29816,b'renk',7
29817,b' Hn',8
29818,b'tenk',4
29819,b'ky\n',51
29820,b' Kry',37
29821,b'shk',36
29822,b'akev',2
29823,b' arts\n',26
29824,b'chuk',22
29825,b' Prok',63
29826,b'pk',28
29827,b'ach\n',15
29828,b'uk\n',9
29829,b' Byk',4
29830,b'iv\n',4
29831,b'ryk',20
29832,b'itk',10
29833,b' Alin',27
29834,b'inian',380
29835,b'evy',38
29836,b' Kyt',7
29837,b'zov',22
29838,b' Lesi',7
29839,b' Lys',81
29840,b' Lyz',4
29841,b' Yul',34
29842,b'ov\n',20
29843,b' Kyr',74
29844,b' piani',165
29845,b' Kru',68
29846,b'yni',57
29847,b'haro',20
29848,b'iya',303
29849,b'-Li',194
29850,b' Zb',57
29851,b'oriy',8
29852,b' Ily',22
29853,b' Marki',13
29854,b'tek',24
29855,b' poet\n',82
29856,b' Ukrai',144
29857,b' Olh',6
29858,b' Pid',12
29859,b' Gros',174
29860,b' Vik',222
29861,b'geny',27
29862,b'ukh',26
29863,b'ivs',8
29864,b' Franko',5
29865,b' Alexan',212
29866,b' Davido',7
29867,b'shy',9
29868,b' Meln',7
29869,b'yns',21
29870,b'lich',50
29871,b'ksi',42
29872,b' Republic\n',87
29873,b'oval',42
29874,b'(OU',5
29875,b'vl',25
29876,b' Rosen',132
29877,b'tyt',5
29878,b'aniv',2
29879,b'sky\n',12
29880,b' Iva',213
29881,b' Vs',15
29882,b'evo',71
29883,b' Horb',2
29884,b'yno',69
29885,b'chenk',32
29886,b'yts',6
29887,b'cherb',11
29888,b' vice',321
29889,b' Kot',151
29890,b'nyk',7
29891,b' leader\n',28
29892,b'oren',39
29893,b' Kov',39
29894,b'iye',24
29895,b' Autoc',6
29896,b'alou',22
29897,b' Eastern',592
29898,b' Patria',121
29899,b'ytr',14
29900,b' Bisho',243
29901,b'bi\n',13
29902,b' Hasi',63
29903,b'kea',14
29904,b' Zol',33
29905,b'(Ol',51
29906,b' FID',4
29907,b' Genn',23
29908,b' Ukrain',208
29909,b'ze\n',20
29910,b' Grig',62
29911,b' footballer\n',280
29912,b' Serh',14
29913,b' Sere',75
29914,b' golds',33
29915,b' records\n',33
29916,b' Olympic',575
29917,b'eest',5
29918,b' Israeli',459
29919,b'eads',59
29920,b' Airt',6
29921,b' Morei',3
29922,b'cher\n',24
29923,b' review\n',20
29924,b'AO',43
29925,b'enit',77
29926,b'erol',35
29927,b' underv',17
29928,b' development\n',48
29929,b' resultin',250
29930,b'estero',11
29931,b' P4',23
29932,b' StA',6
29933,b' XY',7
29934,b' emerg',279
29935,b'oido',4
29936,b'cort',12
29937,b' stero',32
29938,b'rpl',28
29939,b' lip',108
29940,b'agem',88
29941,b'icoi',4
29942,b'-Ai',40
29943,b'Nig',65
29944,b'unim',20
29945,b' joy',66
29946,b' Hunga',283
29947,b' Shec',7
29948,b'Then',30
29949,b'eik',15
29950,b'Jew',150
29951,b' someon',242
29952,b'tzi',16
29953,b'Demo',306
29954,b'ak\xe1',4
29955,b'gett',62
29956,b'ilie',287
29957,b'corp',128
29958,b' Valley\n',42
29959,b'[7',6
29960,b'eolo',304
29961,b' temples',136
29962,b' walls',258
29963,b'onp',10
29964,b' Interm',67
29965,b' Khe',35
29966,b'iris',95
29967,b'otep',11
29968,b'otap',11
29969,b'irei',4
29970,b' Khu',73
29971,b' glaz',29
29972,b'sir',57
29973,b' tomb',166
29974,b' Khas',16
29975,b'ekh',15
29976,b'emw',2
29977,b' Gann',26
29978,b' Gans',20
29979,b' barc',14
29980,b'inf',74
29981,b'torf',2
29982,b' cf',20
29983,b'aeh',10
29984,b'anio',18
29985,b' Griv',6
29986,b'\xc3\xa8r',151
29987,b' ute',51
29988,b' Pennsy',226
29989,b' Girl\n',9
29990,b'Run',45
29991,b'Nei',104
29992,b' airpo',311
29993,b' Hamb',124
29994,b'ropol',74
29995,b' aircraft',1149
29996,b' Interv',129
29997,b' Vam',92
29998,b'kene',44
29999,b' Khay',18
30000,b' Aka',100
30001,b' Hopt',27
30002,b' advis',292
30003,b' Witha',24
30004,b'irf',7
30005,b' Honga',9
30006,b' Kyo',121
30007,b'nyo',17
30008,b'sh\xc5',29
30009,b' Newsw',28
30010,b'ridge\n',29
30011,b'anc\xc3',29
30012,b' Heads',64
30013,b'lda',43
30014,b' Dent',136
30015,b' approve',295
30016,b' zon',266
30017,b'entary',250
30018,b' Yap',20
30019,b' Orders',29
30020,b' website',715
30021,b' Cray',22
30022,b'atti',36
30023,b'harg',86
30024,b' Dock',187
30025,b'gse',2
30026,b' discuss',287
30027,b' Malo',40
30028,b' Bf',19
30029,b'IO',97
30030,b'OF',37
30031,b' wic',134
30032,b'Zo',65
30033,b' zom',73
30034,b' jee',21
30035,"b'""ad'",37
30036,b' Dead',305
30037,b'yac',12
30038,b'pern',9
30039,b'Cn',16
30040,b' isot',54
30041,b'\xb1\n',17
30042,b'#\n',14
30043,b'Rg',4
30044,b'erated',136
30045,b'ciu',105
30046,b' repeat',298
30047,b' detect',298
30048,b' decay',97
30049,b' aime',188
30050,b' uncon',224
30051,b' isom',76
30052,b'Nh',3
30053,b'Cop',57
30054,b' cope',40
30055,b'rho',254
30056,b' deepl',95
30057,b'phyt',16
30058,b'pod',58
30059,b' fern',57
30060,b'atures',93
30061,b'-tol',17
30062,b'des\n',43
30063,b'Flo',206
30064,b'Fer',68
30065,b' mela',161
30066,b'(UV',6
30067,b' occurre',275
30068,b'noma',152
30069,"b'""AB'",4
30070,b' aty',20
30071,b' sunb',38
30072,b' CDK',6
30073,b'yte',200
30074,b' tum',255
30075,b' cuta',25
30076,b' targe',224
30077,b' exci',134
30078,b'raso',55
30079,b'(ly',26
30080,b'myo',29
30081,b' effectiv',205
30082,b' scar',189
30083,b' surgi',101
30084,b' surge',318
30085,b'nost',51
30086,b' T1',16
30087,b' biop',59
30088,b' treatme',193
30089,b'py\n',22
30090,b' surviva',147
30091,b'braf',4
30092,b'enib',8
30093,b' improves',36
30094,b' modes',149
30095,b'ilim',13
30096,b'other',326
30097,b' mali',68
30098,b' narro',295
30099,b'-sit',59
30100,b' melan',156
30101,b' surface',728
30102,b'phoc',23
30103,b'tasi',46
30104,b' worse',130
30105,b' TI',79
30106,b'onme',150
30107,b' beni',24
30108,b'inib',3
30109,b' M7',5
30110,b'rpi',94
30111,b' Mess',263
30112,b' Hori',76
30113,b'ofi',85
30114,b'ropos',13
30115,b'ienti',24
30116,b' Noval',3
30117,b'icanc',10
30118,b' Eso',17
30119,b' Anthr',73
30120,b'nerB',3
30121,b' Templ',307
30122,b' Lyd',81
30123,b' Nod',26
30124,b' Twon',2
30125,b'(Ly',19
30126,b'ebf',4
30127,b'\xbcg',15
30128,b' wings',186
30129,b' pilot',361
30130,b' VT',53
30131,b' XF',21
30132,b'poe',22
30133,b' Bye',33
30134,b' Gayl',25
30135,b' DR',237
30136,b'imou',109
30137,b' Baroni',12
30138,b' Parisy',4
30139,b' Iw',81
30140,b'geto',11
30141,b'ighti',37
30142,b' Deep',198
30143,b'act\n',10
30144,b'agat',20
30145,b' Win\n',36
30146,b'(do',61
30147,b' align',869
30148,b' Impa',81
30149,b'ct\n',44
30150,b'cient',166
30151,b' pull',320
30152,b' rolli',69
30153,b' improved',318
30154,b' Mish',56
30155,b'uku',33
30156,b' Shiz',27
30157,b' Sunz',5
30158,b'hong',23
30159,b' \xe6',54
30160,b' videog',13
30161,b' Shib',33
30162,b'\xc5\x8dk',24
30163,b' officially',541
30164,b' Shri',117
30165,b'Mei',15
30166,b' preci',305
30167,b'-ent',33
30168,b'emon',117
30169,b'\xab\n',6
30170,b' Amon',319
30171,b' participate',342
30172,b' Senate',576
30173,b'nican',48
30174,b' Presidents',44
30175,b'hona',9
30176,b' El\xc3',10
30177,b' province',563
30178,b' Mej',14
30179,b'jil',26
30180,b' Flyn',50
30181,b' vei',111
30182,b' thec',3
30183,b' lut',46
30184,b' Thec',4
30185,b'(LM',10
30186,b'anik',12
30187,b' spott',86
30188,b' lio',78
30189,b'Liu',14
30190,b' Kaf',27
30191,b' Wildl',156
30192,b' bust',58
30193,b' MP3',49
30194,b' LV',18
30195,b'ricl',10
30196,b'delt',13
30197,b' Barone',149
30198,b'usb',9
30199,b'(\xec',20
30200,b'urye',31
30201,b' \xe4',25
30202,b'(\xeb',6
30203,b'\xa0\x84',4
30204,b'\x82\xb0',8
30205,b'\xb0\x81',3
30206,b'\xb1\xb1',16
30207,b'\xb1\xea',2
30208,b'sures',81
30209,b' sort',206
30210,b' Korea',525
30211,b'rean',62
30212,b'ingn',7
30213,b' Boy\n',9
30214,b'aua',8
30215,b'ure\xc8',66
30216,b' Paras',23
30217,b' semif',101
30218,b'zic',16
30219,b'niei',3
30220,b' footballers',349
30221,b'lianu',5
30222,b'ustu',12
30223,b'is\xc3',9
30224,b'lis\xc3',3
30225,b' G1',10
30226,b' Ido',85
30227,b' Indus',270
30228,b'ted\n',27
30229,b'yls',25
30230,b'onyl',12
30231,b'=\n',25
30232,b' contribut',287
30233,b' team\xe2',4
30234,b'!s',89
30235,b'!c',12
30236,b'fff',56
30237,b' P\n',21
30238,b' OF',82
30239,b'\x80\x93\n',41
30240,b'B\n',38
30241,"b'""ce'",145
30242,b'\x80\x93\xe2',3
30243,b' C\n',10
30244,b' rows',312
30245,b'XE',5
30246,b'\x93\xe2',4
30247,b' Philad',215
30248,b'cope',120
30249,b'\x80\x93p',15
30250,b'|r',27
30251,b' standards',343
30252,b' Lof',34
30253,b'ffu',9
30254,b' imagi',240
30255,b' tomo',31
30256,b' scat',150
30257,b' gate',228
30258,b' photon',61
30259,b' distanc',238
30260,b'Dif',34
30261,b' uti',272
30262,b'ergl',25
30263,b' pole',300
30264,b' kV',8
30265,b' becomin',212
30266,b' crossa',5
30267,b'\xc2\xa0V',16
30268,b' cuto',8
30269,b' copp',94
30270,b' plant\n',12
30271,b'orced',124
30272,b' thic',241
30273,b' material',790
30274,b'-end',202
30275,b' railways',113
30276,b' rura',307
30277,b'-mou',67
30278,b' Woode',18
30279,b' improvem',254
30280,b'racte',50
30281,b'achl',14
30282,b' poles',44
30283,b' insul',287
30284,b' pole\n',4
30285,b' nightc',41
30286,b'xs',17
30287,"b'""Af'",44
30288,b' V\n',12
30289,b'pe\n',39
30290,b' Anan',151
30291,b' Universa',275
30292,b' scrip',266
30293,b' Pictu',266
30294,b' filmo',28
30295,b'-lang',271
30296,b'Ruf',16
30297,b' goalt',33
30298,b' Sabr',104
30299,b' Finals',60
30300,b' Flye',74
30301,b'-bac',162
30302,b' braw',19
30303,b'falo',147
30304,b' Harw',47
30305,b' appointm',259
30306,b' Canal',317
30307,b' picku',56
30308,b' Dodg',143
30309,b'cku',25
30310,b' Truc',62
30311,b'ps\n',99
30312,"b'""Sc'",69
30313,b'arec',4
30314,b'AAH',3
30315,b' Estr',49
30316,b' Ples',33
30317,b'sisv',7
30318,b'-Mau',20
30319,b' Sherb',43
30320,b' edition',842
30321,b' Para\xc3',4
30322,b' Stard',20
30323,b' Kelly',521
30324,b'etica',63
30325,b' Josephi',27
30326,b' Accordi',193
30327,b'Kel',57
30328,b'ourne',168
30329,b' nights',94
30330,b' Dot',76
30331,b' Kaa',40
30332,b' DeG',16
30333,"b'""Fr'",188
30334,b'eryt',17
30335,b' storyt',33
30336,b' directn',4
30337,b' supplie',308
30338,b'-Jo',143
30339,b' Conno',71
30340,b' Archie',56
30341,b' Fune',21
30342,b'-Bl',37
30343,b' Ratb',6
30344,b'read',161
30345,b' lul',13
30346,b'.\xc2\xa07',35
30347,b' Firef',62
30348,b' collabo',240
30349,b' Ashl',65
30350,b' Seven',345
30351,b' inspir',284
30352,b' Archiv',295
30353,b' Mean',225
30354,b' Stol',28
30355,b'(with',639
30356,b' Docu',110
30357,b'trali',136
30358,b' prost',295
30359,b' causi',311
30360,b'Dx',2
30361,b' Radiot',7
30362,b' carc',61
30363,b' distant',116
30364,b'tase',28
30365,b' semin',113
30366,b' T4',17
30367,b'(T1',2
30368,b' radiat',160
30369,b' ere',223
30370,b'RH',32
30371,b'etax',3
30372,b' uncom',114
30373,b' cancers',15
30374,b' accum',110
30375,b'XA',3
30376,b'Pros',22
30377,b'-mos',43
30378,b' prosta',50
30379,b' trials',155
30380,b' Proh',24
30381,b' nightt',13
30382,b'Filmi',20
30383,b'urant',29
30384,b'P2',48
30385,b'ciali',32
30386,"b'""br'",109
30387,b'ator\n',18
30388,b'(disa',250
30389,b'eter\n',8
30390,b'Hug',63
30391,b'mbig',261
30392,b'UA',30
30393,b'ouz',31
30394,b'rs\xc3',4
30395,b'ungs',33
30396,b'\xa4s',31
30397,b'dsb',9
30398,b'\xa4l',36
30399,b'malm',4
30400,b'gerss',6
30401,b'gersd',3
30402,b' Goth',240
30403,b'-Eu',87
30404,b' rune',9
30405,b' Jo\xc3',29
30406,b' S\xc3\xa9',82
30407,b' Andr\xc3',96
30408,b'ZZ',39
30409,b' costi',25
30410,b' accounti',101
30411,b' homeb',27
30412,b'-cle',23
30413,b' Mink',156
30414,b' accounta',73
30415,b' enoug',224
30416,b' contracto',80
30417,b' frau',210
30418,b' sue',110
30419,b'ezz',21
30420,b'-ag',102
30421,b' shorti',6
30422,b' stock',418
30423,b' USAN',7
30424,b' suits',53
30425,b' misc',110
30426,b'ondu',113
30427,b' burg',107
30428,b' scam',20
30429,b'racti',81
30430,b'rtedl',30
30431,b'utho',43
30432,b'seri',64
30433,b' Spil',43
30434,b' stagec',15
30435,b'uction\n',108
30436,b' Gof',92
30437,b'\xe2\x80\x99t',57
30438,b' negat',292
30439,b' Westerns',4
30440,b' funk',59
30441,b'ssai',20
30442,b'ker\xe2',4
30443,b'E\xc3',4
30444,b'Eo',5
30445,b' Patric',293
30446,b'dang',26
30447,b' bowl',243
30448,b' termina',310
30449,b' Redu',36
30450,b' Bayb',11
30451,b'Bay',29
30452,b'd\xc4',26
30453,b'que\n',32
30454,b'(\xc3',32
30455,b'pal\xc4',2
30456,b'nosp',43
30457,b'awat',21
30458,b'Hz',167
30459,b'.es',6
30460,b'n4',3
30461,b' Mainz',49
30462,b'Ket',7
30463,b'hali',97
30464,b' commercia',205
30465,b' birthp',57
30466,b' festival',382
30467,b' Foxx',7
30468,b'Ron',58
30469,b' WL',85
30470,b'AY',14
30471,b'astin',252
30472,b'IK',19
30473,b'sbur',279
30474,b'etin',81
30475,b' radio\n',15
30476,b' Knox',66
30477,b'-Mai',16
30478,b' Sandb',22
30479,b' lug',52
30480,b' Latini',24
30481,b'*h',49
30482,b'\x82\x82',62
30483,b' meaning',650
30484,b'none',29
30485,b'dox',125
30486,b'Accor',213
30487,b' groo',64
30488,b' spou',40
30489,b' communitie',228
30490,b'bini',43
30491,b'arri',110
30492,b'bina',48
30493,b' divo',241
30494,b' resolu',306
30495,b' committe',240
30496,b' resolv',196
30497,b'lling',323
30498,b' Noto',38
30499,b' introduced',1132
30500,b' Clarke',126
30501,b' Menc',18
30502,b' Hillm',39
30503,b'uinn',31
30504,"b'""Go'",188
30505,b'illm',4
30506,b'ritin',91
30507,b' bras',92
30508,b' drugs',222
30509,"b'""Dr'",115
30510,b' subseque',194
30511,b' Christg',25
30512,b' magazine',725
30513,b' Timel',55
30514,b'llb',17
30515,b'rnj',2
30516,b'edv',6
30517,b' Donj',4
30518,b' Gorn',14
30519,b've\xc5',8
30520,b'aver',62
30521,b' Zag',85
30522,b'od\xe2',2
30523,b'otti',98
30524,b' Lakev',45
30525,b' brought',893
30526,b'od\n',31
30527,b'hly',274
30528,b' Woodw',41
30529,b' Rosel',13
30530,b' ancien',217
30531,b' housek',17
30532,b' scrib',39
30533,b' prou',63
30534,b' today',626
30535,b' schooli',60
30536,b' Upa',67
30537,b'rud',111
30538,b' respecte',79
30539,b' literat',235
30540,b' duty',255
30541,b'shil',3
30542,b' literac',119
30543,b' learnt',18
30544,b'itera',128
30545,b' educationa',309
30546,b'astic',235
30547,b' Franks',51
30548,b' Middle',657
30549,b'yab',41
30550,b'rasa',30
30551,b' thousa',261
30552,b'rarc',133
30553,b'ciani',35
30554,b' Arabic',238
30555,b' education\n',128
30556,b' religion',353
30557,b' literar',321
30558,b' Ashi',65
30559,b'toll',5
30560,b'chua',19
30561,b' ensur',299
30562,b'kac',12
30563,b' increasin',231
30564,b' daughter',1030
30565,b'ligh',190
30566,b'tenm',22
30567,b' influenced',323
30568,b' USAI',7
30569,b'matics',216
30570,b' implem',262
30571,b' slowl',142
30572,b' competen',68
30573,b' engage',302
30574,b'stei',116
30575,b'ul\xe2',5
30576,b'utl',32
30577,b' Educa',226
30578,b' Waterm',16
30579,b'Gai',23
30580,b'airn',19
30581,b' A8',18
30582,b' Melv',59
30583,b' Sands',90
30584,b'werd',2
30585,b'rlo',39
30586,b' Sande',118
30587,b' Towe',196
30588,b' Asha',33
30589,b'endh',2
30590,b' Olv',17
30591,b'ile\n',48
30592,b' businessp',88
30593,b' Kend',88
30594,b' Walla',201
30595,b' Mora',208
30596,b'ourk',14
30597,b' codec',13
30598,b'tril',17
30599,b' multim',57
30600,b'Roo',26
30601,b' Kenne',300
30602,b' lawye',283
30603,b' applica',266
30604,b'lia\n',16
30605,b' restau',278
30606,b'\x80\x93o',10
30607,b'\x80\x93d',11
30608,b'de\xe2',4
30609,b'\x80\x93a',38
30610,b'O\xe2',8
30611,b' Chul',25
30612,b' Dalt',85
30613,b' Israel\n',80
30614,b'uatio',234
30615,b' Vent',128
30616,b'onas',34
30617,b'ueb',17
30618,b' War\xc2',11
30619,b' influences',143
30620,b'meh',12
30621,b'bi\xc3',3
30622,b'\xc3\xa1\xc3',9
30623,b'iei',8
30624,b'Notab',256
30625,b' slal',25
30626,b'wnh',22
30627,b' Walli',35
30628,b'amsh',71
30629,b' Holo',133
30630,b'ums\n',18
30631,b' Chus',16
30632,b'\xb8\xaf',6
30633,b'\xb8\x89',13
30634,b'\xab\xe6',6
30635,b'\xb8\x9c',4
30636,b'Taz',2
30637,b'awak',8
30638,b' Railways',106
30639,b' Arthu',273
30640,b'oeg',3
30641,b' Lewi',253
30642,b' Seaf',36
30643,b' casem',14
30644,b'Zh',33
30645,b'oush',3
30646,b'odb',16
30647,b' stere',108
30648,b'rsl',6
30649,"b""'at""",27
30650,b' Arif',8
30651,b' failur',241
30652,b' afterl',20
30653,b' lowers',14
30654,b'rila',7
30655,b'Zi',37
30656,b'edb',20
30657,b'halo',17
30658,b'EG',30
30659,b'oen',32
30660,b' thet',3
30661,b' feedb',69
30662,b'Neu',54
30663,b'ooc',17
30664,b' Woods',180
30665,b' Mountai',226
30666,b'ouseh',4
30667,b'Pub',307
30668,b' Communit',269
30669,b' Walesk',4
30670,b' Chero',41
30671,b' Publica',155
30672,b' Matl',20
30673,b'uesp',2
30674,b' Misk',19
30675,b' X2',7
30676,b' nationale',20
30677,b'osof',136
30678,b'(cou',58
30679,b'sF',129
30680,b'orS',3
30681,b' Urg',38
30682,b' premiu',65
30683,b' Addi',306
30684,b'rnati',268
30685,b'(Ur',19
30686,b'Any',35
30687,b'wnl',8
30688,b' Shet',52
30689,b' Bute',51
30690,b'Geogr',243
30691,b' practice',786
30692,b' Sely',11
30693,b' rhe',66
30694,b' reada',15
30695,b'bility',512
30696,b' internationa',179
30697,b' thirt',316
30698,b'merm',27
30699,b'i\xe2',38
30700,b'traz',10
30701,b' regist',265
30702,"b'""Ah'",8
30703,b'quie',19
30704,"b""'ap""",14
30705,b' eds',47
30706,b' musicians',388
30707,b' Communis',214
30708,b' Federa',228
30709,b'oL',7
30710,b' codeb',6
30711,b'(SE',28
30712,b'KU',28
30713,b' TE',42
30714,b'KE',30
30715,b'Free',113
30716,b' PN',61
30717,b' JL',18
30718,b'aryn',29
30719,b' operation\n',18
30720,b' uv',12
30721,b' slee',290
30722,b' obst',165
30723,b' tong',90
30724,b'Ef',40
30725,b'illec',3
30726,b' posto',9
30727,b' reading\n',484
30728,b' battlef',74
30729,b'hi\xc3',3
30730,b'nier',37
30731,b'ebv',10
30732,b'oue',28
30733,b'ttes',72
30734,b'Nap',20
30735,b' approach',568
30736,b'\xc3\xbcc',38
30737,b' Lesm',2
30738,b'atea',15
30739,b'fz',2
30740,b'ensw',15
30741,b'tagev',3
30742,b'gates',69
30743,b' Sandy',122
30744,b'uctiona',18
30745,b' Statec',5
30746,b'\xbcb',75
30747,b'Die',64
30748,b'(Le',139
30749,b'ipz',7
30750,b'agt',7
30751,b' etw',2
30752,b'ynu',4
30753,b' Kalm',16
30754,b'iusk',2
30755,b' rowe',45
30756,b' Curz',15
30757,b' rowi',30
30758,b'pth',66
30759,b'thil',19
30760,b'maso',11
30761,b'&J',25
30762,b' Gore',58
30763,b' Anau',10
30764,b' Linen',9
30765,b'chenw',4
30766,b' brande',76
30767,b'arka',42
30768,b' Frankt',4
30769,b'orths',9
30770,b'oury',4
30771,b' Scotty',7
30772,b' Caf',71
30773,b' closu',179
30774,b' closi',157
30775,b' Longb',11
30776,b' chance',355
30777,b'-ge',222
30778,b'llor',114
30779,b' bure',138
30780,b'neral',185
30781,b'Alls',3
30782,b' softb',39
30783,b' Ario',7
30784,b' Toj',3
30785,b' Florid',231
30786,b' door',356
30787,b' Kox',7
30788,b'IW',7
30789,b' Champions\n',37
30790,b' midp',23
30791,b' Piu',76
30792,b'(LE',13
30793,b'koc',14
30794,b' UX',3
30795,b' placek',12
30796,b'Livin',206
30797,b' picke',173
30798,b' Timi',12
30799,b' Pacific',662
30800,b' data\n',12
30801,b' Bode',30
30802,b'chg',7
30803,b' focusi',123
30804,b' chemis',235
30805,b'ovas',36
30806,b'cular',238
30807,b' cycl',240
30808,b'narr',36
30809,b' Furc',5
30810,b'ritio',98
30811,b' Medici',214
30812,b' PJ',19
30813,b'osot',3
30814,b' regulati',316
30815,b'phyr',33
30816,b' JM',31
30817,b' Ign',160
30818,b'arro',26
30819,b'cler',13
30820,b'osis',225
30821,b' Nobe',286
30822,b'macy',94
30823,b' Tope',22
30824,b' modif',286
30825,b' bloods',29
30826,b'toa',18
30827,b'pe\xc2',3
30828,b'reas',169
30829,b'usea',8
30830,b'D6',7
30831,b'T8',2
30832,b' risks',59
30833,b' HL',39
30834,b' patte',272
30835,b'-DQ',3
30836,b'utan',51
30837,b' glu',186
30838,b' tends',81
30839,b' secret',426
30840,b' accompl',236
30841,b' typical',387
30842,b'gly',182
30843,b' CD8',5
30844,b' regulato',104
30845,b' CD4',4
30846,b' beta',57
30847,b'Ons',8
30848,b' regulate',159
30849,b'nep',16
30850,b'-years',18
30851,b' disease',575
30852,b'yro',38
30853,b'ritis',69
30854,b'D3',4
30855,b' Severa',262
30856,b' diabe',218
30857,b'reati',60
30858,b' autoi',12
30859,b' Medica',290
30860,b' eti',25
30861,b' chemic',271
30862,b'yce',72
30863,b'tonu',5
30864,b'hrop',53
30865,b' understo',183
30866,b'Tad',9
30867,b' Ridi',56
30868,b' induct',306
30869,b'-stu',35
30870,b' NCA',160
30871,b' ell',110
30872,b'ipsi',55
30873,b' synta',57
30874,b' presence',438
30875,b' optio',260
30876,b' medial',39
